idx,run,type,label1,sublabel1,label2,image,file,x,y,frequency-across-4runs,aspectratio
1,1,single,face,face,none,S44-E4401_01299.png,S44-E4401_01299.png,329,151,1,3
2,1,single,face,face,none,S36-E4086_01260.png,S36-E4086_01260.png,220,107,1,2
3,1,single,face,face,none,S48-E4831_00750.png,S48-E4831_00750.png,220,145,1,3
4,1,single,face,face,none,S44-E4401_01315.png,S44-E4401_01315.png,439,115,1,3
5,1,none,none,none,none,s001.png,s001.png,150,150,4,1
6,1,none,none,none,none,s002.png,s002.png,150,500,4,1
7,1,single,face,face,none,S36-E4086_01262.png,S36-E4086_01262.png,223,166,4,2
8,1,single,face,face,none,S44-E4401_00818.png,S44-E4401_00818.png,369,94,4,3
9,1,single,face,face,none,S48-E4831_00758.png,S48-E4831_00758.png,210,50,4,3
10,1,double,face,face,number,S39-E4172_01153.png,S39-E4172_01153.png,312,94,1,3
11,1,double,face,face,number,S41-E4213_00563.png,S41-E4213_00563.png,371,151,1,3
12,1,double,face,face,place,S40-E4208_03073.png,S40-E4208_03073.png,379,161,1,3
13,1,double,face,face,place,S40-E4209_02082.png,S40-E4209_02082.png,313,121,1,3
14,1,double,face,face,word,S38-E4149_02354.png,S38-E4149_02354.png,293,140,1,2
15,1,double,face,face,word,S36-E4085_01196.png,S36-E4085_01196.png,226,152,1,2
16,1,double,number,number,face,S45-E4502_02105.png,S45-E4502_02105.png,375,244,1,3
17,1,double,number,numbersingle,face,S37-E4122_01967.png,S37-E4122_01967.png,249,225,1,2
18,1,single,number,numbersingle,none,S31-E3876_00806.png,S31-E3876_00806.png,241,170,1,2
19,1,single,number,numbersingle,none,S31-E3885_00529.png,S31-E3885_00529.png,213,160,1,2
20,1,single,number,number,none,S31-E3885_02049.png,S31-E3885_02049.png,250,183,1,2
21,1,single,number,numbersingleNS,none,S11-E1391_02028.png,S11-E1391_02028.png,240,87,1,2
22,1,none,none,none,none,s003.png,s003.png,150,844,4,1
23,1,none,none,none,none,s004.png,s004.png,380,150,4,1
24,1,single,number,number,none,S44-E4424_03375.png,S44-E4424_03375.png,304,173,4,3
25,1,single,number,number,none,S43-E4325_02069.png,S43-E4325_02069.png,316,170,4,3
26,1,single,number,numbersingle,none,S38-E4158_01946.png,S38-E4158_01946.png,242,138,4,2
27,1,double,number,number,place,S35-E4060_02217.png,S35-E4060_02217.png,271,233,1,2
28,1,double,number,numbersingle,place,S45-E4517_03060.png,S45-E4517_03060.png,327,208,1,3
29,1,double,number,numbersingle,word,S31-E3885_01563.png,S31-E3885_01563.png,273,139,1,2
30,1,double,number,numbersingle,word,S31-E3885_01566.png,S31-E3885_01566.png,273,142,1,2
31,1,double,place,place,face,S35-E4059_01732.png,S35-E4059_01732.png,239,132,1,2
