imagename,faces,places,words,letters,numbers
1,1,1,1,0,1
2,1,1,0,0,0
3,1,0,1,1,0
4,0,0,1,0,1
5,1,0,1,0,0
6,0,0,0,0,1
7,1,0,1,0,1
8,0,1,1,0,0
9,1,0,0,0,0
10,0,1,0,0,0
11,1,1,0,0,0
12,1,0,1,0,0
13,0,0,0,1,0
14,0,0,0,1,0
15,1,1,1,0,0
16,0,0,0,0,1
17,1,0,0,0,0
18,1,0,0,0,0
19,0,0,0,0,1
20,1,0,0,1,0
21,1,1,0,0,0
22,0,0,1,0,1
23,1,1,0,0,0
24,1,0,1,0,0
25,0,0,1,0,0
26,0,0,0,0,1
27,0,0,0,0,1
28,0,0,0,0,1
29,0,0,0,0,1
30,0,0,0,0,1
31,0,0,0,0,1
32,1,0,0,0,0
33,0,0,0,0,0
34,1,0,0,0,0
35,1,0,0,0,0
36,1,0,0,0,1
37,0,0,0,0,0
38,0,0,1,0,0
39,0,0,0,0,0
40,0,0,0,0,1
41,1,1,0,0,0
42,1,0,0,0,0
43,1,1,0,0,0
44,1,0,0,0,0
45,1,0,0,0,0
46,1,0,0,0,0
47,1,0,0,0,0
48,0,0,0,1,0
49,0,0,0,0,1
50,1,0,0,0,1
51,0,0,0,1,1
52,0,0,1,0,1
53,0,0,0,1,1
54,0,0,1,0,1
55,0,0,1,0,0
56,0,0,1,0,0
57,0,0,0,0,0
58,1,0,0,0,0
59,1,0,0,0,0
60,0,0,0,1,0
61,0,0,1,1,0
62,0,0,1,0,0
63,0,0,0,1,0
64,0,0,0,1,0
65,0,1,0,0,0
66,1,0,0,0,0
67,0,0,0,0,1
68,1,0,0,0,0
69,0,0,0,0,1
70,0,0,1,0,0
71,0,1,0,0,0
72,0,0,0,0,1
73,0,0,0,0,1
74,0,0,0,1,0
75,0,1,0,0,0
76,1,0,0,0,0
77,0,0,1,1,0
78,0,0,0,1,0
79,1,0,0,1,0
80,0,0,0,0,1
81,1,0,0,0,0
82,1,0,0,1,1
83,1,1,0,1,1
84,1,1,0,1,1
85,0,1,0,0,0
86,1,1,1,0,0
87,0,1,0,0,1
88,1,1,0,0,0
89,0,0,0,0,0
90,0,0,0,1,0
91,0,0,1,1,0
92,0,0,0,1,0
93,0,0,0,0,0
94,0,1,1,0,0
95,1,0,0,0,1
96,0,0,0,0,1
97,1,0,0,0,0
98,0,1,0,0,0
99,0,0,0,0,1
100,0,0,1,0,0
101,0,1,0,0,0
102,1,0,1,0,1
103,0,0,1,0,0
104,0,0,1,1,0
105,1,1,0,0,0
106,1,1,1,0,1
107,0,0,1,1,0
108,0,1,1,1,1
109,0,0,1,0,0
110,0,1,0,0,1
111,0,0,0,0,1
112,1,1,0,0,0
113,1,1,1,0,0
114,1,1,1,1,0
115,1,0,0,0,1
116,0,1,1,0,0
117,0,0,1,1,0
118,0,0,1,1,1
119,0,0,0,1,0
120,1,0,0,1,0
121,1,0,0,0,0
122,0,0,0,1,0
123,1,0,0,0,1
124,0,0,0,0,1
125,1,0,0,0,1
126,0,0,0,0,0
127,0,1,0,0,0
128,0,0,1,0,0
129,1,0,0,1,1
130,0,0,1,0,1
131,1,1,1,0,0
132,1,1,0,0,0
133,1,0,1,0,1
134,0,0,0,1,0
135,0,0,0,1,0
136,0,0,0,1,0
137,0,0,0,1,0
138,1,0,0,1,0
139,1,0,1,0,0
140,1,1,0,0,0
141,0,0,1,0,0
142,0,1,1,1,0
143,1,1,0,0,1
144,0,0,0,0,1
145,0,0,0,0,1
146,0,0,0,0,1
147,0,0,0,0,1
148,0,0,0,0,1
149,0,0,0,0,0
150,0,0,0,0,0
151,1,0,0,0,1
152,1,0,0,0,1
153,0,0,0,0,0
154,0,0,0,0,1
155,0,0,0,0,1
156,0,0,0,0,0
157,0,0,0,0,1
158,0,0,0,0,0
159,0,0,0,0,0
160,0,0,1,0,0
161,0,0,1,0,0
162,0,0,0,1,0
163,0,0,1,0,0
164,0,0,1,1,0
165,0,0,1,1,0
166,1,1,1,0,0
167,1,0,0,1,0
168,0,1,0,0,0
169,1,1,1,0,0
170,1,1,1,1,1
171,0,0,0,0,0
172,0,0,0,0,1
173,0,0,1,1,0
174,0,0,0,1,0
175,0,0,0,1,0
176,0,0,0,1,0
177,0,0,0,1,0
178,0,0,0,1,0
179,0,0,0,1,0
180,0,0,0,1,0
181,0,0,0,1,0
182,0,0,0,1,0
183,0,0,0,1,0
184,0,0,0,1,0
185,0,0,0,1,0
186,0,0,0,1,0
187,0,1,0,1,0
188,0,1,0,1,0
189,0,0,0,1,0
190,0,0,0,1,0
191,0,0,0,1,0
192,0,0,0,1,0
193,0,0,0,1,0
194,0,0,0,1,0
195,0,0,0,1,0
196,1,0,0,0,0
197,1,0,1,0,0
198,1,0,0,0,0
199,1,0,0,0,0
200,1,0,0,0,0
201,1,0,0,0,0
202,0,0,0,1,0
203,1,1,0,0,0
204,0,1,0,0,0
205,0,0,0,0,0
206,1,0,0,0,0
207,1,0,0,0,0
208,1,0,0,0,0
209,1,0,0,0,0
210,1,0,0,0,0
211,1,0,0,0,0
212,1,0,1,0,0
213,1,0,0,0,0
214,1,0,1,0,0
215,0,0,0,0,1
216,0,0,0,0,1
217,0,1,0,0,1
218,0,0,1,1,0
219,0,1,1,1,1
220,0,1,0,0,1
221,0,0,1,0,0
222,0,0,1,1,1
223,1,0,0,0,0
224,1,0,1,0,1
225,1,0,1,0,0
226,1,0,0,0,0
227,0,0,0,1,0
228,1,0,0,1,0
229,1,0,0,1,0
230,0,0,0,1,0
231,0,0,1,0,0
232,1,0,0,0,0
233,1,0,0,1,0
234,1,0,0,0,0
235,0,0,0,1,0
236,0,0,1,0,0
237,0,0,0,0,1
238,0,0,0,0,1
239,0,0,0,0,1
240,0,0,0,0,1
241,0,0,0,0,1
242,0,0,0,0,1
243,0,0,0,0,1
244,0,0,0,0,1
245,1,0,1,0,0
246,1,0,0,0,0
247,1,0,0,0,0
248,1,0,1,0,0
249,0,1,0,0,0
250,1,0,1,0,0
251,0,0,0,1,0
252,0,0,0,1,0
253,1,0,1,0,0
254,1,0,1,0,0
255,0,1,0,0,0
256,0,0,0,1,0
257,0,0,0,1,0
258,0,1,0,1,0
259,0,1,0,1,0
260,0,1,0,0,0
261,0,1,1,0,0
262,0,1,0,1,0
263,0,0,0,1,0
264,0,1,0,1,0
265,0,0,1,0,0
266,0,0,1,0,1
267,0,0,0,0,1
268,1,0,0,0,0
269,1,0,0,0,1
270,0,0,0,0,0
271,0,0,0,0,1
272,1,0,0,0,0
273,0,0,0,0,1
274,1,0,0,0,0
275,1,0,0,0,0
276,0,0,0,0,1
277,0,1,1,0,0
278,1,0,0,0,0
279,1,1,0,0,1
280,1,0,0,0,0
281,1,0,1,0,0
282,1,1,0,0,0
283,1,1,0,0,0
284,0,0,1,0,0
285,0,1,1,0,1
286,0,1,1,0,0
287,0,1,1,0,0
288,0,0,1,0,0
289,1,1,1,0,0
290,1,1,1,0,0
291,0,0,0,1,0
292,0,1,0,0,0
293,0,0,1,0,0
294,0,1,0,0,0
295,1,0,1,0,0
296,0,1,1,0,0
297,0,1,0,1,0
298,1,1,0,0,0
299,0,1,0,0,0
300,1,1,1,0,0
301,0,0,1,0,0
302,0,0,1,1,1
303,0,0,1,0,0
304,0,0,1,1,1
305,1,0,1,0,0
306,1,0,1,1,0
307,1,0,0,0,0
308,1,0,0,0,0
309,1,0,1,0,0
310,0,0,0,0,0
311,0,0,1,1,0
312,0,0,0,0,0
313,0,0,0,1,0
314,1,0,0,0,0
315,1,1,0,0,0
316,1,0,0,0,0
317,1,0,0,0,0
318,1,0,0,0,0
319,1,0,0,0,0
320,1,1,0,0,0
321,1,1,0,0,0
322,0,1,1,0,0
323,0,1,1,0,0
324,0,1,0,0,0
325,1,0,1,0,0
326,0,0,0,0,0
327,0,0,0,1,0
328,1,0,1,0,1
329,1,0,0,0,0
330,1,1,1,0,0
331,1,1,0,0,0
332,1,0,0,0,0
333,1,0,0,0,0
334,1,0,0,0,0
335,1,0,0,0,0
336,0,0,1,0,0
337,1,1,0,0,0
338,0,1,1,0,0
339,0,0,0,0,0
340,0,0,0,0,0
341,1,0,0,0,0
342,0,0,0,0,0
343,0,0,0,0,0
344,0,1,0,0,0
345,1,0,0,0,0
346,0,1,0,0,0
347,0,0,1,0,0
348,1,0,0,0,0
349,1,0,0,0,0
350,0,1,1,0,0
351,0,0,0,0,0
352,0,0,0,0,0
353,0,1,1,0,0
354,1,0,0,0,0
355,1,1,0,0,0
356,0,0,0,0,0
357,0,0,0,0,0
358,0,0,1,0,0
359,1,0,0,0,0
360,1,0,0,0,0
361,1,0,0,0,0
362,1,0,0,0,0
363,0,0,0,0,0
364,1,1,0,0,0
365,0,1,1,0,0
366,1,0,0,1,0
367,1,1,1,0,1
368,1,0,0,0,0
369,1,0,0,0,0
370,1,1,0,0,0
371,0,0,0,0,0
372,0,0,0,0,0
373,1,0,1,0,0
374,0,0,1,0,0
375,0,0,1,0,0
376,1,0,0,0,0
377,0,0,0,0,1
378,0,0,1,0,1
379,1,0,0,0,0
380,0,1,1,0,0
381,1,1,1,0,0
382,1,0,0,0,1
383,1,0,0,0,1
